PWSID,sys_name,agency,county,service_cxns_update,DAC_status,survey_start,survey_submit,survey1A_start,survey1A_submitted,app_started,app_complete,program_need_update,contact_priority,opp_contact_date,follow_up_date,total_arr_reported,ac_name_update,ac_email_update,ac_phone_update,agg_reporting,agg_PWSID,umbrella_org,survey_PWSIDs,TA_requested,reporter_name,reporter_email,reporter_phone
CA5810002,LINDA COUNTY WATER DISTRICT,DISTRICT 21 - VALLEY,YUBA,5051,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAVIER RIOS-FARIAS,jrios@lindawater.com,530-743-2043,NA,NA,NA,NA,NA,Javier Rios,wjellsey@succeed.net,(530) 743-2043
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",DISTRICT 15 - METROPOLITAN,LOS ANGELES,4973,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANTHONY ESPARZA,aesparza@elsegundo.org,310-524-2746,NA,NA,NA,NA,Y,Anthony Esparza,aesparza@elsegundo.org,(310) 524-2746
CA1910223,GSWC-SOUTH SAN GABRIEL,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,4950,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALEX CHAKMAK,Alex.Chakmak@gswater.com,909-592-4271EXT. 1404,NA,CA3010047,NA,NA,NA,NA,NA,NA
CA3910007,"RIPON, CITY OF",DISTRICT 10 - STOCKTON,SAN JOAQUIN,4941,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JAMES PEASE,jpease@cityofripon.org,209-599-2108,NA,NA,NA,NA,NA,James Pease,jpease@cityofripon.org,209-599-2108
CA2910006,NEVADA ID - LOMA RICA,DISTRICT 09 - SACRAMENTO,NEVADA,4931,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARMON CLOSE,close@nidwater.com,530-273-6185,NA,CA2910004,NA,NA,NA,NA,NA,NA
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,4892,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,59240.54,JORDAN DIETZ,jwdietz@cvwater.com,909-338-1727,NA,NA,NA,NA,NA,Jordan Dietz,jwdietz@cvwater.com,909-338-1727
CA5210004,CITY OF RED BLUFF,DISTRICT 21 - VALLEY,TEHAMA,4870,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,MARIE JENSEN,mjensen@cityofredbluff.org,530-527-2605,NA,NA,NA,NA,NA,SANDRA RYAN,sryan@cityofredbluff.org,(530) 527-2605
CA4010008,PISMO BEACH WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,4858,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRANDON SHEA,bshea@pismobeach.org,805-773-7054,NA,NA,NA,NA,Y,Brenda  Alvarado,balvarado@pismobeach.org,805-773-7009
CA3610025,JOSHUA BASIN WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,4727,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,327439.71,MARK BAN,mban@jbwd.com,760-366-8438,NA,NA,NA,NA,Y,James  Corbin,jcorbin@jbwd.com,(760) 821-3040
CA1510019,"SHAFTER, CITY OF",DISTRICT 12 - VISALIA,KERN,4847,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,MICHAEL JAMES,mjames@shafter.com,661-746-5002,NA,NA,NA,NA,NA,Marcos Torres,mtorres@shafter.com,NA
CA2310003,"UKIAH, CITY OF",DISTRICT 03 - MENDOCINO,MENDOCINO,4781,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,SEAN WHITE,swhite@cityofukiah.com,707-467-5712,NA,NA,NA,NA,NA,Michelle Wagenet,mwagenet@cityofukiah.com,(1707) 489-3927
CA3410023,CAL AM FRUITRIDGE VISTA,DISTRICT 09 - SACRAMENTO,SACRAMENTO,4667,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,AUDIE FOSTER,audie.foster@amwater.com,916-568-4278,NA,CA3410010,NA,NA,NA,NA,NA,NA
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,DISTRICT 09 - SACRAMENTO,SACRAMENTO,4621,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIMOTHY SHAW,GM@rlecwd.com,916-991-8891,NA,NA,NA,NA,Y,Timothy Shaw,gm@rlecwd.com,(916) 991-8891
CA5610043,OAK PARK WATER SERVICE,DISTRICT 06 - SANTA BARBARA,VENTURA,4591,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,RICHARD JONES,richardjones@vrsd.com,805-658-4648,NA,NA,NA,NA,NA,Richard Jones,richardjones@vrsd.com,805-658-4648
CA4210007,MONTECITO WATER DIST,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,4574,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,NICHOLAS TURNER,nturner@montecitowater.com,805-969-2271,NA,NA,NA,NA,NA,Nick Turner,nturner@montecitowater.com,805-969-2271
CA1510032,"CALIFORNIA CITY, CITY OF",DISTRICT 19 - TEHACHAPI,KERN,4570,SDAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,11/15/2021,NA,JOE BARRAGAN,JBarragan@californiacity-ca.gov,760-373-7162,NA,NA,NA,NA,NA,Joe Barragan,jbarragan@californiacity-ca.gov,(760) 373-7162
CA4910005,"HEALDSBURG, CITY OF",DISTRICT 18 - SONOMA,SONOMA,4532,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,96879.22,TERRY CROWLEY,tcrowley@ci.healdsburg.ca.us,707-431-3346,NA,NA,NA,NA,NA,Allen Roseberry,aroseberry@ci.healdsburg.ca.us,707-431-3346
CA1910063,LINCOLN AVENUE WATER CO.,DISTRICT 16 - CENTRAL,LOS ANGELES,4476,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,101473.54,JENNIFER BETANCOURT,jennifer@lawc.org,626-798-9101,NA,NA,NA,NA,NA,Jennifer Betancourt Torres,jennifer@lawc.org,(626) 798-9101 x213
CA5010005,CITY OF MODESTO - SALIDA,DISTRICT 10 - STOCKTON,STANISLAUS,4405,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEFF DANIELS,jdaniels@modestogov.com,209-342-4585,NA,CA5010010,NA,NA,NA,Melissa Duran,mduran@modestogov.com,209-342-4596
CA4010026,NIPOMO COMM SERVICES DIST,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,4464,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,191761.5,PETER SEVCIK,psevcik@ncsd.ca.gov,805-929-1133,NA,NA,NA,NA,NA,Maio Iglesias,miglesias@ncsd.ca.gov,(805) 929-1133
CA1910073,"LOMITA-CITY, WATER DEPT.",DISTRICT 07 - HOLLYWOOD,LOS ANGELES,4384,Non-DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,MARK ANDERSEN,m.andersen@lomitacity.com,310-325-9830,NA,NA,NA,NA,NA,Patrick  McCue,p.mccue@lomitacity.com,(310) 903-2243
CA1210006,"FORTUNA, CITY OF",DISTRICT 01 - KLAMATH,HUMBOLDT,4581,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,3447.19,CHRISTOPHER CHRISTIANSON,cchristianson@ci.fortuna.ca.us,707-725-1476,NA,NA,NA,NA,NA,Christopher Christianson,cchristianson@ci.fortuna.ca.us,(707) 725-1476
CA4910012,"SONOMA, CITY OF",DISTRICT 18 - SONOMA,SONOMA,4336,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,J. COLLEEN FERGUSON,cferguson@sonomacity.org,707-933-2230,NA,NA,NA,NA,NA,Christopher Pegg,chrisp@sonomacity.org,707-933-2245
CA1910101,ORCHARD DALE WATER DISTRICT,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,4311,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,ED CASTANEDA,ECASTANEDA@ODWD.ORG,562-941-0114,NA,NA,NA,NA,NA,Randall Silvett,ecastaneda@odwd.org,(562) 941-0114
CA3010094,TRABUCO CANYON WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,4175,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,39721.6,FERNANDO PALUDI,fpaludi@tcwd.ca.gov,949-858-0277,NA,NA,NA,NA,Y,Karen Warner,kwarner@tcwd.ca.gov,949-858-0277
CA4110016,TOWN OF HILLSBOROUGH,DISTRICT 17 - SANTA CLARA,SAN MATEO,4293,Non-DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,PAUL WILLIS,pwillis@hillsborough.net,650-375-7487,NA,NA,NA,NA,NA,George Chien,tsungchu.chien@waterboards.ca.gov,(510) 620-3461
CA4900637,MAGIC MOUNTAIN MUTUAL WATER COMPANY,DISTRICT 18 - SONOMA,SONOMA,67,NA,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,NA,NA,GILL SPERLEIN,mmpoadirector1@gmail.com; gill@sperleinlaw.com,415-378-2625,NA,NA,NA,NA,NA,Mark Zastrow,mmzastrow@comcast.net,707-230-2975
CA3310032,"SAN JACINTO, CITY OF",DISTRICT 20 - RIVERSIDE,RIVERSIDE,4213,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,MATHEW OSBORN,mosborn@sanjacintoca.gov,951-487-7330EXT. 755,NA,NA,NA,NA,Y,Mathew Osborn,mosborn@sanjacintoca.gov,(951) 537-7721
CA4110017,MENLO PARK MUNICIPAL WATER,DISTRICT 17 - SANTA CLARA,SAN MATEO,4099,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,206343.82,PAM LOWE,phlowe@menlopark.org,650-330-6745,NA,NA,NA,NA,NA,Pam Lowe,phlowe@menlopark.org,(650) 330-6745
CA1510001,ARVIN COMMUNITY SERVICES DIST,DISTRICT 12 - VISALIA,KERN,4157,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,RAUL BARRAZA,rbarraza@arvincsd.com,661-854-2127,NA,NA,NA,NA,NA,Alexis Gaona,agaona@arvincsd.com,(661) 852-1226
CA2010001,CHOWCHILLA CITY WATER DEPT,DISTRICT 11 - MERCED,MADERA,4053,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,123310.95,JASON ROGERS,jrogers@cityofchowchilla.org,559-665-8615,NA,NA,NA,NA,Y,Beatrice Mayers,bmayers@cityofchowchilla.org,559 665-8615
CA4010014,CAMBRIA COMM SERVICES DIST,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,4034,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JOHN F. WEIGOLD IV,jweigold@cambriacsd.org,805-927-6223,NA,NA,NA,NA,NA,James Green,jgreen@cambriacsd.org,(805) 927-6250
CA1010004,COALINGA-CITY,DISTRICT 23 - FRESNO,FRESNO,4027,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,SEAN BREWER,sbrewer@coalinga.com,559-341-4461EXT. 143,NA,NA,NA,NA,Y,Marissa Trejo,mtrejo@coalinga.com,(559) 935-1533
CA5510012,TUD - UPPER BASIN WATER SYSTEM,DISTRICT 11 - MERCED,TUOLUMNE,4005,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,DON PERKINS,dperkins@tuolumneutilities.com,209-532-5536EXT. 524,NA,CA5510001,NA,NA,NA,NA,NA,NA
CA4210001,CARPINTERIA VALLEY WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,4399,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,26129.54,ROBERT MCDONALD,bob@cvwd.net,805-684-2816,NA,NA,NA,NA,NA,Maso Motlow,maso@cvwd.net,805-755-4081
CA1910091,MONTEBELLO LAND & WATER CO.,DISTRICT 16 - CENTRAL,LOS ANGELES,3971,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,KOREY BRADBURY,KOREY@MTBLW.COM,323-722-8654,NA,NA,NA,NA,NA,Korey Bradbury,Korey@mtblw.com,(323) 722-8654
CA2710011,"SOLEDAD, CITY OF",DISTRICT 05 - MONTEREY,MONTEREY,3948,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,OSCAR ANTILLO,oantillon@cityofsoledad.com,831-223-5173,NA,NA,NA,NA,NA,Sherie Colesberry,sherie.colesberry@cityofsoledad.com,8312235075
CA3301169,MURRIETA PALMS MOBILE HOME PARK,LPA63 - RIVERSIDE COUNTY,RIVERSIDE,71,NA,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,NA,NA,KATHLEEN KANE,CONTROLLER@PALMSPROPERTY.COM,951-537-6993,NA,NA,NA,NA,NA,Matthew  Crowley,mcrowley@calruralwater.org,949-742-2512
CA4110024,CITY OF EAST PALO ALTO,DISTRICT 17 - SANTA CLARA,SAN MATEO,3903,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,RICHARD PEREZ,richard.perez@veolia.com,650-798-1082,NA,NA,NA,NA,Y,Rich Perez,richard.perez@veolia.com,650-322-2083
CA4510006,CITY OF SHASTA LAKE,DISTRICT 02 - LASSEN,SHASTA,3897,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,TONY THOMASY,tthomasy@cityofshastalake.org,530-275-7450,NA,NA,NA,NA,Y,Tony Thomasy,tthomasy@cityofshastalake.org,530-275-7488
CA4110027,WESTBOROUGH COUNTY WATER DIST,DISTRICT 17 - SANTA CLARA,SAN MATEO,3885,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,PATRICIA MAIRENA,pmairena@westboroughwater.com,650-589-1435,NA,NA,NA,NA,Y,Samantha Ryan,sryan@rcac.org,(707) 572-7465
CA4410013,SCOTTS VALLEY WATER DISTRICT,DISTRICT 05 - MONTEREY,SANTA CRUZ,3863,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIRET HARMON,pharmon@svwd.org,831-600-1902,NA,NA,NA,NA,NA,Nick Kurns,nkurns@svwd.org,8316001904
CA1010019,"KINGSBURG, CITY OF",DISTRICT 23 - FRESNO,FRESNO,3856,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANIEL GALVEZ,dgalvez@cityofkingsburg-ca.gov,559-897-1066,NA,NA,NA,NA,Y,Mary Colby,mecolby@cityofkingsburg-ca.gov,NA
CA0510006,CCWD - JENNY LIND,DISTRICT 10 - STOCKTON,CALAVERAS,3819,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JESSE HAMPTON,jesseh@ccwd.org,209-754-3316,NA,NA,NA,NA,NA,Jesse Hampton,jesseh@ccwd.org,209-754-3316
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",DISTRICT 07 - HOLLYWOOD,LOS ANGELES,3804,Non-DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,Steven McGee,smcgee@cityofsierramadre.com,626-355-5839,NA,NA,NA,NA,NA,Steven McGee,smcgee@cityofsierramadre.com,626-355-5839
CA1010018,"KERMAN, CITY OF",DISTRICT 23 - FRESNO,FRESNO,3789,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,MICHAEL BARAJAS,mbarajas@cityofkerman.org,559-846-6122,NA,NA,NA,NA,Y,Randy Johnson,MVES@cityofkerman.org,(209) 484-5003
CA3600345,WEST END MWC,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,54,NA,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,NA,NA,JAMES WOODY,wemwcinc@gmail.com,760-885-1474,NA,NA,NA,NA,NA,James Woody,wemwcinc@gmail.com,760-302-6339
CA0910013,GEORGETOWN DIVIDE PUD,DISTRICT 09 - SACRAMENTO,EL DORADO,3733,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,41128.9,JEFF NELSON,GM@GD-PUD.ORG,530-333-4356,NA,NA,NA,NA,NA,Adam Brown,abrown@gd-pud.org,(530) 333-4356
CA5810001,CAL-WATER SERVICE CO.-MARYSVILLE,DISTRICT 21 - VALLEY,YUBA,3694,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOPHIE JAMES,sjames@calwater.com,408-367-8593,NA,CA1910050,NA,NA,NA,NA,NA,NA
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",DISTRICT 16 - CENTRAL,LOS ANGELES,3624,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,RUSS BRYDEN,rbryden@dpw.lacounty.gov,626-300-3300,NA,CA1910070,NA,NA,NA,Bing Hua,bhua@dpw.lacounty.gov,626-300-3337
CA1910166,VALLEY WATER CO.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,3614,Non-DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,BOB FAN,BFAN@VALLEYWATERCOMPANY.COM,818-790-5516,NA,NA,NA,NA,NA,David Crocchi,dcrocchi@valleywatercompany.com,818-790-5516
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,DISTRICT 21 - VALLEY,BUTTE,3551,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOPHIE JAMES,sjames@calwater.com,408-367-8593,NA,CA1910050,NA,NA,NA,NA,NA,NA
CA5010013,CITY OF NEWMAN-WATER DEPARTMENT,DISTRICT 10 - STOCKTON,STANISLAUS,3525,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,KATHRYN REYES,kreyes@cityofnewman.com,209-862-4448,NA,NA,NA,NA,Y,Terry Barques,tbarques@cityofnewman.com,209-243-2352
CA1910038,"EL MONTE-CITY, WATER DEPT.",DISTRICT 16 - CENTRAL,LOS ANGELES,3485,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRET KADEL,bkadel@elmonteca.gov,626-258-8603,NA,NA,NA,NA,Y,Ed Diggs,ediggs@elmonteca.gov,NA
CA2610001,MAMMOTH CWD,DISTRICT 13 - SAN BERNARDINO,MONO,3455,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARK BUSBY,mbusby@mcwd.dst.ca.us,909-934-2596EXT. 275,NA,NA,NA,NA,NA,Jeffrey Beatty,jbeatty@mcwd.dst.ca.us,(760) 934-2596
CA5500053,LEISURE PINES MUTUAL WATER CO,DISTRICT 11 - MERCED,TUOLUMNE,103,NA,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,NA,NA,GARY CONRAD,Patngary@att.net,209-586-8953,NA,NA,NA,NA,NA,Gary Conrad,leisure.pines.water@gmail.com,209.586.9638
CA1010027,"REEDLEY, CITY OF",DISTRICT 23 - FRESNO,FRESNO,5914,NA,Y,N,Yes,Yes,Yes,Yes,Yes,1,10/8/2021,NA,8070.64,JOHN ORNELLAS,JOHN.ORNELLAS@REEDLEY.CA.GOV,559-637-4200,NA,NA,NA,NA,NA,John  Ornellas,john.ornellas@reedley.ca.gov,559-638-4109
CA1610004,"CORCORAN, CITY OF",DISTRICT 12 - VISALIA,KINGS,3442,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,113368.7,JOE FAULKNER,joe.faulkner@cityofcorcoran.com,559-992-4791,NA,NA,NA,NA,Y,Dylan Zable,dylan.zable@cityofcorcoran.com,559-631-9024
CA1510020,"TEHACHAPI, CITY OF",DISTRICT 19 - TEHACHAPI,KERN,3393,SDAC,Y,Y,Yes,Yes,Yes,No,No,3,10/8/2021,11/15/2021,NA,TYLER NAPIER,tnapier@tehachapipw.com,661-822-2200EXT. 507,NA,NA,NA,NA,NA,Tyler Napier,tnapier@tehachapipw.com,661-822-2200
CA4510001,CITY OF ANDERSON,DISTRICT 02 - LASSEN,SHASTA,3339,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,MATTHEW BAKER,mbaker@ci.anderson.ca.us,530-378-6636,NA,NA,NA,NA,Y,Peter Wickenheiser,pwickenheiser@ci.anderson.ca.us,(530) 378-6641
CA1510024,GREENFIELD COUNTY WD,DISTRICT 12 - VISALIA,KERN,3329,SDAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,11/15/2021,NA,NICK COOPER,ncooper@greenfieldcwd.org,661-831-0989,NA,NA,NA,NA,NA,Nick Cooper,greenfieldcountywater@gmail.com,(661) 301-3823
CA5410003,"EXETER, CITY OF",DISTRICT 24 - TULARE,TULARE,3298,SDAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,11/15/2021,NA,DAYMON QUALLS,dqualls@exetercityhall.com,559-592-3318,NA,NA,NA,NA,NA,Daymon Qualls,dqualls@exetercityhall.com,559-592-3318
CA4910002,"CLOVERDALE, CITY OF",DISTRICT 18 - SONOMA,SONOMA,3266,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,42130.21,DAVID KELLEY,dkelley@ci.cloverdale.ca.us,707-894-1723,NA,NA,NA,NA,Y,Susie Holmes,sholmes@ci.cloverdale.ca.us,(707) 894-1715
CA0310004,"PLYMOUTH, CITY OF",DISTRICT 10 - STOCKTON,AMADOR,520,NA,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,NA,NA,RICK FERRIERA,rferriera@amadorwater.org,209-257-5284,NA,NA,NA,NA,NA,Andrea Hinton,ahinton@amadorwater.org,209-257-5243
CA5510009,GROVELAND COMMUNITY SERV DIST,DISTRICT 11 - MERCED,TUOLUMNE,3255,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,PETER KAMPA,pkampa@gcsd.org,209-962-7161,NA,NA,NA,NA,Y,Renee Van Dyk,rvandyk@gcsd.org,(209) 962-7161
CA2910023,NEVADA ID - LAKE WILDWOOD,DISTRICT 09 - SACRAMENTO,NEVADA,3216,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARMON CLOSE,close@nidwater.com,530-273-6185,NA,CA2910004,NA,NA,NA,NA,NA,NA
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,186,Non-DAC,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,NA,NA,PATRICIA NEWBY,tgw.staff@gmail.com,831-662-3204,NA,NA,NA,NA,NA,Patricia Newby,tgw.staff@gmail.com,831-662-3204
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,DISTRICT 16 - CENTRAL,LOS ANGELES,3128,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARMANDO DE LA PAZ,armando@rclwa.org,626-797-0509,NA,NA,NA,NA,NA,Armando De La Paz,armando@rclwa.org,(626) 797-0509 X209
CA5410006,"LINDSAY, CITY OF",DISTRICT 24 - TULARE,TULARE,3090,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,38488.67,NEYBA AMEZCUA,namezcua@lindsay.ca.us,559-562-7102,NA,NA,NA,NA,NA,Michael Camarena,engineering@lindsay.ca.us,559.562.7102
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,24535,NA,Y,N,NA,NA,NA,NA,NA,1,10/8/2021,DDW,NA,DAN MARTIN,DMartin@dsrsd.com,925-875-2367,NA,NA,NA,NA,NA,Kelly Richards,richards@dsrsd.com,925-875-2227
CA3410002,SCWA - ARDEN PARK VISTA,DISTRICT 09 - SACRAMENTO,SACRAMENTO,3053,Non-DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,SARAH GRANT,GRANTSA@SACCOUNTY.NET,916-875-6881,NA,NA,NA,NA,NA,James Sacayanan,sacayananj@saccounty.net,(916) 875-5837
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",DISTRICT 07 - HOLLYWOOD,LOS ANGELES,3052,NA,Y,Y,NA,NA,Yes,No,Yes,NA,NA,NA,NA,MATT TRYON,MTRYON@CITYOFSIGNALHILL.ORG,562-989-7253,NA,NA,NA,NA,Y,Mark Van Meeveren,mvanmeeveren@cityofsignalhill.org,562-989-7252
CA3610062,RUNNING SPRINGS WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,3014,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,16100.25,RYAN GROSS,rgross@runningspringswd.com,909-867-2766,NA,NA,NA,NA,Y,Ryan Gross,rgross@runningspringswd.com,909-403-5387
CA4710011,"YREKA, CITY OF",DISTRICT 01 - KLAMATH,SISKIYOU,3268,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,30221.84,ROB TAYLOR,RTAYLOR@CI.YREKA.CA.US,530-841-2327,NA,NA,NA,NA,Y,Robert Taylor,rtaylor@ci.yreka.ca.us,530-841-2327
CA1910020,EAST PASADENA WATER CO.,DISTRICT 22 - ANGELES,LOS ANGELES,2988,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAWRENCE MORALES,LAWRENCE@EPWATER.COM,626-793-6189,NA,NA,NA,NA,NA,Wayne Goehring,wayne@epwater.com,626-793-6189
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,DISTRICT 04 - SAN FRANCISCO,SOLANO,2978,NA,Y - Ag,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOPHIE JAMES,sjames@calwater.com,408-367-8593,NA,CA1910050,NA,NA,NA,NA,NA,NA
CA4910011,"SEBASTOPOL, CITY OF",DISTRICT 18 - SONOMA,SONOMA,2953,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,DANTE DEL PRETE,ddelprete@cityofsebastopol.org,707-823-5331,NA,NA,NA,NA,NA,Dante Del Prete,ddelprete@cityofsebastopol.org,(707) 823-5331
CA2310001,"FORT BRAGG, CITY OF",DISTRICT 03 - MENDOCINO,MENDOCINO,2951,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JOHN SMITH,jsmith@fortbragg.com,707-961-2845,NA,NA,NA,NA,NA,Heath Daniels,hdaniels@fortbragg.com,707-961-4141
CA1910054,LA CANADA IRRIGATION DIST.,DISTRICT 16 - CENTRAL,LOS ANGELES,2939,Non-DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,NA,NA,DOUGLAS CAISTER,lacanadaid@earthlink.net,818-790-6749,NA,NA,NA,NA,NA,Douglas Caister,lacanadaid@earthlink.net,818/790-6749
CA4010019,TEMPLETON CSD,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,2938,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEFF BRILTZ,jbriltz@templetoncsd.org,805-434-4820,NA,NA,NA,NA,NA,William Sprague,fsprague@templetoncsd.org,NA
CA1510045,GOLDEN HILLS CSD,DISTRICT 19 - TEHACHAPI,KERN,2921,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,4106.08,SUSAN WELLS,gm@ghcsd.com,661-822-3064,NA,NA,NA,NA,NA,Debbie Lee,gm@ghcsd.com,661-822-3064
CA3110010,TAHOE CITY PUD - MAIN,DISTRICT 02 - LASSEN,PLACER,2906,DAC,Y,Y,NA,NA,NA,NA,NA,3,10/8/2021,11/15/2021,NA,TONY LALIOTIS,TLALIOTIS@TCPUD.ORG,530-580-6053,NA,NA,NA,NA,NA,Tony Laliotis,tlaliotis@tcpud.org,(530) 580-6053
