PWSID,System Name,Agency,County,Population,Service Connections,DAC Status,Survey requested funding,Survey estimated adjusted arrears,Survey 1A start?,Survey 1A complete?,App started?,App complete?,Program need?,OPP contact date,Follow up date,AC Name,AC Email,AC Phone,Aggregate reporting?,Aggregate PWSIDs,Umbrella Org,Technical assistance requested?,Reporter Name,Reporter Email,Reporter Phone
CA3010042,SOUTH COAST WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,34232,12347,Non-DAC,356000,27500,NA,NA,No,No,Yes,NA,12/1/2021,RICK SHINTAKU,rshintaku@scwd.org,949-499-4555EXT. 3156,NA,NA,NA,Y,Cassandra Garcia,cgarcia@scwd.org,949-342-1149
CA3010082,SERRANO WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,5895,2254,Non-DAC,5000,1689.6,NA,NA,No,No,Yes,NA,12/1/2021,JERRY VILANDER,jerryv@serranowater.org,714-538-0079,NA,NA,NA,NA,Mike Mastin,swdwq@yahoo.com,714 538-0079
CA3000618,LIBERTY PARK WATER ASSOCIATION,DISTRICT 08 - SANTA ANA,ORANGE,89,27,Non-DAC,NA,0,NA,NA,No,No,N,10/8/2021,12/1/2021,ELLEN COSTELLO,COSMOCOST@YAHOO.COM,0,NA,NA,NA,N,Hung Bui,hung.bui@waterboards.ca.gov,714-558-6720
CA3110020,OLYMPIC VALLEY PSD,DISTRICT 02 - LASSEN,PLACER,1366,835,Non-DAC,67352,0,Yes,Yes,No,No,Yes,NA,12/1/2021,MICHAEL GEARY,mgeary@OVPSD.org,530-583-4692,NA,NA,NA,NA,Brandon Burks,bburks@svpsd.org,530-583-4692
CA3100011,AUBURN VALLEY COMMUNITY SERVICE DIS,LPA61 - PLACER COUNTY,PLACER,290,119,Non-DAC,7820.61,0,NA,NA,No,No,Yes,NA,12/1/2021,JIM LEIDIGH,jleidighavcsd@gmail.com,530-269-1668,NA,NA,NA,Y,Shane Burr,scburr2000@yahoo.com,(530) 277-2770
CA3210004,AMERICAN VALLEY CSD,DISTRICT 02 - LASSEN,PLUMAS,4300,1594,SDAC,20000,12202.02,NA,NA,No,No,Yes,NA,12/1/2021,JIM DOOHAN,JIM@americanvalleycsd.com,530-283-0836,NA,NA,NA,NA,Jim  Doohan,katie@quincycsd.com,530-283-0836
CA3210009,CHESTER PUBLIC U.D.,DISTRICT 02 - LASSEN,PLUMAS,2316,1251,DAC,8750,1259,NA,NA,No,No,Yes,NA,12/1/2021,ALLAN HOMME,cpud@frontiernet.net,530-258-2171,NA,NA,NA,NA,Allan Homme,cpud@frontiernet.net,(530)258-2171
CA3310074,TEMESCAL VALLEY WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,19034,5662,Non-DAC,75000,164496,NA,NA,No,No,Yes,NA,12/1/2021,JEFF PAPE,JeffP@temescalvwd.com,951-277-1414,NA,NA,NA,Y,Mel McCullough,MELM@TEMESCALVWD.COM,951-277-1414  EXT 6326
CA3301529,RAMONA WATER COMPANY,LPA63 - RIVERSIDE COUNTY,RIVERSIDE,250,95,SDAC,6347.15,3729.6,NA,NA,No,No,Yes,NA,12/1/2021,LOUIS DEMARTINO,louis@louisdemartino.com,951-970-7809,NA,NA,NA,NA,Louis DeMarrtino,louis@louisdemartino.com,NA
CA3301775,HIGH VALLEYS WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,762,248,SDAC,NA,2365.66,NA,NA,No,No,Yes,10/8/2021,12/1/2021,STAN HOUGHTON,SHoughton@highvalleyswater.com,951-849-2612,NA,NA,NA,NA,Stan Houghton,hvwd@msn.com,951-849-2612
CA3410014,"FOLSOM, CITY OF - MAIN",DISTRICT 09 - SACRAMENTO,SACRAMENTO,68122,20643,Non-DAC,65653.96,65653.96,NA,NA,No,No,Yes,NA,12/1/2021,TODD EISING,teising@folsom.ca.us,916-351-3502,NA,NA,NA,NA,Bryson pearson,bpearson@folsom.ca.us,(916) 461-6191
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,DISTRICT 09 - SACRAMENTO,SACRAMENTO,14381,4621,Non-DAC,13000,13078.26,NA,NA,No,No,Yes,NA,12/1/2021,TIMOTHY SHAW,GM@rlecwd.com,916-991-8891,NA,NA,NA,Y,Timothy Shaw,gm@rlecwd.com,(916) 991-8891
CA3410016,ORANGE VALE WATER COMPANY,DISTRICT 09 - SACRAMENTO,SACRAMENTO,18005,5684,Non-DAC,11754.28,11754.28,NA,NA,No,No,Yes,NA,12/1/2021,JOE DURAN,jduran@orangevalewater.com,916-988-1693,NA,NA,NA,NA,Joe Duran,Jduran@orangevalewater.com,916-988-1693
CA3410030,"FOLSOM, CITY OF - ASHLAND",DISTRICT 09 - SACRAMENTO,SACRAMENTO,3538,1079,Non-DAC,2719.47,2719.47,NA,NA,No,No,Yes,NA,12/1/2021,TODD EISING,teising@folsom.ca.us,916-351-3502,NA,NA,NA,NA,Bryson pearson,bpearson@folsom.ca.us,(916) 461-6191
CA3510003,SUNNYSLOPE COUNTY WATER DIST,DISTRICT 05 - MONTEREY,SAN BENITO,22902,6579,Non-DAC,500000,176315.88,NA,NA,No,No,Yes,NA,12/1/2021,DREW LANDER,drew@sunnyslopewater.org,831-637-4670,NA,NA,NA,NA,Rob Hillebrecht,rob@sscwd.org,831-637-4670
CA3510002,"SAN JUAN BAUTISTA, CITY OF",DISTRICT 05 - MONTEREY,SAN BENITO,2335,834,Non-DAC,90000,41546.28,NA,NA,No,No,Yes,NA,12/1/2021,DON REYNOLDS,citymanager@san-juan-bautista.ca.us,831-623-4661,NA,NA,NA,Y,Don Reynolds,citymanager@san-juan-bautista.ca.us,8315946322
CA3610055,YUCAIPA VALLEY WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,51558,13462,Non-DAC,200000,225096.66,NA,NA,No,No,Yes,NA,12/1/2021,JOSEPH ZOBA,jzoba@yvwd.us,909-797-5119,NA,NA,NA,NA,Allison Edmisten,aedmisten@yvwd.us,(909) 797-5117
CA3610125,SBDNO COUNTY SERVICE AREA 70J,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,12513,3382,Non-DAC,144930.12,144930.12,NA,NA,No,No,Yes,NA,12/1/2021,STEVE SAMARAS,ssamaras@sdd.sbcounty.gov,760-955-9885,No,NA,NA,NA,Jared Beyeler,jbeyeler@sdd.sbcounty.gov,760-962-1505
CA3610121,SBDNO COUNTY SERVICE AREA 64,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,14678,3967,Non-DAC,98156.85,98156.85,NA,NA,No,No,Yes,NA,12/1/2021,STEVE SAMARAS,ssamaras@sdd.sbcounty.gov,760-955-9885,No,NA,NA,NA,Jared Beyeler,jbeyeler@sdd.sbcounty.gov,760-962-1505
CA3610053,WESTERN HEIGHTS WATER COMPANY,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,7521,2247,Non-DAC,6000,5235.99,NA,NA,No,No,Yes,NA,12/1/2021,MARK E. IVERSON,m.iverson@westernheightswater.org,909-790-1901,NA,NA,NA,Y,Debbie Patrick,d.patrick@westernheightswater.org,NA
CA3610052,VICTORVILLE WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,124653,35605,DAC,1,4969693,NA,NA,No,No,Yes,NA,12/1/2021,ARNOLD VILLARREAL,avillarreal@victorvilleca.gov,760-955-2993,NA,NA,NA,NA,Luis Sierras,lsierras@ci.victorville.ca.us,(562) 879-3621
CA3610073,HI DESERT WD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,25653,10766,SDAC,57000,53428.2,NA,NA,No,No,Yes,NA,12/1/2021,TONY CULVER,tonyc@hdwd.com,760-365-8152,NA,NA,NA,Y,Jonathan Abadesco,jonathana@hdwd.com,760-228-6281
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,1236,342,SDAC,21106.11,21106.11,NA,NA,No,No,Yes,NA,12/1/2021,STEVE SAMARAS,ssamaras@sdd.sbcounty.gov,760-955-9885,No,NA,NA,NA,Jared Beyeler,jbeyeler@sdd.sbcounty.gov,760-962-1505
CA3600226,CSA 70-F MORONGO,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,450,83,DAC,12188.61,12188.61,NA,NA,No,No,Yes,NA,12/1/2021,STEVE SAMARAS,ssamaras@sdd.sbcounty.gov,760-955-9885,No,NA,NA,NA,Jared Beyeler,jbeyeler@sdd.sbcounty.gov,760-962-1505
CA3610014,"COLTON, CITY OF",DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,55430,15231,DAC,NA,0,NA,NA,No,No,Yes,10/8/2021,DDW,ISAAC MORA,imora@coltonca.gov,909-370-6163,Yes,CA3610014,City of Colton,NA,Mike Cory,mcory@coltonca.gov,909-370-6101
CA3710014,"OCEANSIDE, CITY OF",DISTRICT 08 - SANTA ANA,SAN DIEGO,178021,44372,Non-DAC,452639,452639,NA,NA,No,No,Yes,NA,12/1/2021,LORI RIGBY,lrigby@oceansideca.org,760-435-5912,NA,NA,NA,NA,Sarah Davis,sdavis@oceansideca.org,(760) 435-5830
CA3710029,OLIVENHAIN MWD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,86997,22623,Non-DAC,125000,121401.25,NA,NA,No,No,Yes,NA,12/1/2021,KIM THORNER,KTHORNER@OLIVENHAIN.COM,760-753-6466,NA,NA,NA,NA,Leo Mendez,lmendez@olivenhain.com,760-632-4652
CA3701184,BUTTERFIELD RANCH,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,350,75,SDAC,150000,70000,NA,NA,No,No,Yes,NA,12/1/2021,DAVID GRICE,davegrice@att.net,760-798-2092,NA,NA,NA,NA,Vincent Molina,vpaulm55@gmail.com,(1619) 318-8620
CA3910007,"RIPON, CITY OF",DISTRICT 10 - STOCKTON,SAN JOAQUIN,16292,4941,Non-DAC,27859,27858.93,NA,NA,No,No,Yes,NA,12/1/2021,JAMES PEASE,jpease@cityofripon.org,209-599-2108,NA,NA,NA,NA,James Pease,jpease@cityofripon.org,209-599-2108
CA3910003,"ESCALON, CITY OF",DISTRICT 10 - STOCKTON,SAN JOAQUIN,7478,2495,Non-DAC,12250,12246.6,NA,NA,No,No,Yes,NA,12/1/2021,TAMMY ALCANTOR,talcantor@cityofescalon.org,209-691-7400,NA,NA,NA,NA,Tammy Alcantor,talcantor@cityofescalon.org,2096917421
CA3910022,LITTLE POTATO SLOUGH MUTUAL,DISTRICT 10 - STOCKTON,SAN JOAQUIN,950,202,DAC,1162,1060.84,NA,NA,No,No,Yes,NA,12/1/2021,DENYSE ARNERICH,denysearnerich@yahoo.com; denyse@lpswaterco.com,209-339-1602,NA,NA,NA,NA,Denyse Arnerich,denysearnerich@yahoo.com,(209) 482-8559
CA3910023,OAKWOOD LAKE WATER DISTRICT-SUBDIVISION,DISTRICT 10 - STOCKTON,SAN JOAQUIN,1304,391,Non-DAC,3615,583.2,NA,NA,No,No,Yes,NA,12/1/2021,BERT MICHALCZYK,bert.michalczyk@gmail.com,925-570-8830,NA,NA,NA,NA,Casey Wichert,casey.wichert@gmail.com,209.483.5525
CA4010014,CAMBRIA COMM SERVICES DIST,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,6032,4034,Non-DAC,50000,138749.87,NA,NA,No,No,Yes,NA,12/1/2021,JOHN F. WEIGOLD IV,jweigold@cambriacsd.org,805-927-6223,NA,NA,NA,NA,James Green,jgreen@cambriacsd.org,(805) 927-6250
CA4010901,SLOCSA #10A - CAYUCOS,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,857,771,Non-DAC,22838.03,22838.03,NA,NA,No,No,Yes,NA,12/1/2021,FAITH ZENKER,fzenker@co.slo.ca.us,805-781-1576,No,NA,NA,Y,Laura Holder,lholder@co.slo.ca.us,(805) 781-5135
CA4010012,HERITAGE RANCH CSD,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,3428,1944,Non-DAC,NA,13210.2,NA,NA,No,No,Yes,10/8/2021,12/1/2021,SCOTT DUFFIELD,scott@heritageranchcsd.ca.gov,805-227-6230,NA,NA,NA,NA,Scott Duffield,scott@heritageranchcsd.ca.gov,805-227-6230
CA4010019,TEMPLETON CSD,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,9322,2938,Non-DAC,3800,3981.97,NA,NA,No,No,Yes,NA,12/1/2021,JEFF BRILTZ,jbriltz@templetoncsd.org,805-434-4820,NA,NA,NA,NA,William Sprague,fsprague@templetoncsd.org,NA
CA4010028,SLO CSA NO. 16 - SHANDON,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,1295,340,SDAC,20449.76,20449.76,NA,NA,No,No,Yes,NA,12/1/2021,FAITH ZENKER,fzenker@co.slo.ca.us,805-781-1576,No,NA,NA,Y,Faith Zenker,FZenker@co.slo.ca.us,805-781-1576
CA4000653,RANCHO COLINA MOBILE HOME PARK,LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,250,126,Non-DAC,241.11,241.11,NA,NA,No,No,Yes,NA,12/1/2021,NATASHA WETZEL,me_toshua@yahoo.com,805-772-3414,NA,NA,NA,NA,Steve MacElvaine,smacelvaine@live.com,805-772-3414
CA4100510,REDWOOD TERRACE MUTUAL,DISTRICT 17 - SANTA CLARA,SAN MATEO,43,16,Non-DAC,5000,5400,NA,NA,No,No,Yes,NA,12/1/2021,KURT ELVERT,kurtelvert@gmail.com,408-489-8595,NA,NA,NA,NA,Kurt Elvert,kurtelvert@gmail.com,408-489-8595
CA4210013,SOLVANG WATER DIVISION,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,5771,2189,Non-DAC,64000,58026.32,NA,NA,No,No,Yes,NA,12/1/2021,MIKE MATHEWS,mikem@cityofsolvang.com,805-588-4424,NA,NA,NA,Y,KRISTIN RUBIN,kristinr@cityofsolvang.com,805-688-5575
CA4200556,FOSTER ROAD MUTUAL WATER COMPANY,LPA72 - SANTA BARBARA COUNTY,SANTA BARBARA,150,49,Non-DAC,8633,9515,NA,NA,No,No,Yes,NA,12/1/2021,JAMES KAUFMAN,JKAUFMANNATMCA@AOL.COM,805-934-0504,NA,NA,NA,Y,Robert Walling,rcwalling@gmail.com,(805) 470-0462
CA4210019,MISSION HILLS CSD,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,3560,1271,Non-DAC,7936,7944.79,NA,NA,No,No,Yes,NA,12/1/2021,JERRY GRUBER,jg@mhcsd.org,805-733-4366,NA,NA,NA,NA,Javier  Rodriguez,jr@mhcsd.org,(805) 280-3562
CA4310009,CITY OF PALO ALTO,DISTRICT 17 - SANTA CLARA,SANTA CLARA,69397,19377,Non-DAC,301335,301334,NA,NA,No,No,Yes,NA,12/1/2021,TOMM MARSHALL,tomm.marshall@cityofpaloalto.org,650-566-4506,NA,NA,NA,NA,John Reinert,john.reinert@cityofpaloalto.org,650-496-6967
CA4400595,VILLA DEL MONTE MWC,DISTRICT 05 - MONTEREY,SANTA CRUZ,419,127,Non-DAC,10623,10623.14,NA,NA,No,No,Yes,NA,12/1/2021,MIKE MILLER,mike@vdmwater.com,408-348-4792,NA,NA,NA,NA,Mike Miller,atsunset2@verizon.net,NA
CA4400526,BIG REDWOOD PARK WATER,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,130,65,Non-DAC,2050,2050,NA,NA,No,No,Yes,10/8/2021,12/1/2021,WALDO BURFORD,waldoburford@gmail.com,408-621-1712,NA,NA,NA,NA,waldo burford,waldoburford@gmail.com,(408) 621-1712
CA4400652,"CATHEDRAL HILLS MWC, INC",LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,60,25,Non-DAC,2000,1623.89,NA,NA,No,No,Yes,NA,12/1/2021,PETER GOETZ,pgoetz517@gmail.com,831-688-8096,NA,NA,NA,Y,Shawn Mixan,shawn@weber-hayes.com,(831) 708-1755
CA4510001,CITY OF ANDERSON,DISTRICT 02 - LASSEN,SHASTA,11147,3339,SDAC,20000,14640.21,NA,NA,No,No,Yes,NA,12/1/2021,MATTHEW BAKER,mbaker@ci.anderson.ca.us,530-378-6636,NA,NA,NA,Y,Peter Wickenheiser,pwickenheiser@ci.anderson.ca.us,(530) 378-6641
CA4510007,COTTONWOOD COUNTY WATER DIST.,DISTRICT 02 - LASSEN,SHASTA,3316,1226,SDAC,1,0,NA,NA,No,No,Yes,NA,12/1/2021,JOHN HOLLMER,cottonwoodwaterdistrict@gmail.com;,530-347-3472,NA,NA,NA,NA,John Hollmer,cottonwoodwaterdistrict@gmail.com,(530) 941-4274
CA4710006,MCCLOUD C.S.D.,DISTRICT 01 - KLAMATH,SISKIYOU,1300,728,SDAC,17338.16,6155.84,NA,NA,No,No,Yes,NA,12/1/2021,AMOS MCABIER,amos@ci.mccloudcsd.ca.us,530-964-2017,NA,NA,NA,NA,Richard Fesler,richie@ci.mccloudcsd.ca.us,(530) 964-2017
CA4710004,"ETNA, CITY OF",DISTRICT 01 - KLAMATH,SISKIYOU,720,410,DAC,5000,0,Yes,No,No,No,Yes,NA,12/1/2021,KRISTINA HARGROVE,kris.hargrove@cityofetna.org,530-467-5256,NA,NA,NA,Y,DANIEL BURBANK,etnacitypwd@gmail.com,530-598-2286
CA4910017,"WINDSOR, TOWN OF",DISTRICT 18 - SONOMA,SONOMA,28397,8965,Non-DAC,405166.74,101404.48,NA,NA,No,No,Yes,NA,12/1/2021,MICHAEL CAVE,MCAVE@TOWNOFWINDSOR.COM,707-838-5309,NA,NA,NA,NA,Jenny Alton,jalton@townofwindsor.com,NA
CA5010014,"OAKDALE, CITY OF",DISTRICT 10 - STOCKTON,STANISLAUS,22348,7932,Non-DAC,185000,51497.73,NA,NA,No,No,Yes,NA,12/1/2021,CODY BRIDGEWATER,cbridgewater@ci.oakdale.ca.us,209-845-3600,NA,NA,NA,Y,Cody Bridgewater,cbridgewater@ci.oakdale.ca.us,209-845-3616
CA5010028,"CERES, CITY OF",DISTRICT 10 - STOCKTON,STANISLAUS,48706,12055,DAC,500000,1205280.5,NA,NA,No,No,Yes,NA,12/1/2021,JEREMY DAMAS,jeremy.damas@ci.ceres.ca.us,209-538-5717,NA,NA,NA,Y,Angelica Gonsalves,angelica.gonsalves@ci.ceres.ca.us,(209) 538-5688
CA5010013,CITY OF NEWMAN-WATER DEPARTMENT,DISTRICT 10 - STOCKTON,STANISLAUS,11784,3525,DAC,210500,45055.75,NA,NA,No,No,Yes,NA,12/1/2021,KATHRYN REYES,kreyes@cityofnewman.com,209-862-4448,NA,NA,NA,Y,Terry Barques,tbarques@cityofnewman.com,209-243-2352
CA5110007,SUTTER COMMUNITY S.D.,DISTRICT 21 - VALLEY,SUTTER,2904,1080,DAC,15631.65,11036.25,NA,NA,No,No,Yes,NA,12/1/2021,LELAND CORRELL,sutterwater@aol.com,530-755-1733,NA,NA,NA,NA,Leland Correll,sutterwater@aol.com,530-755-1733
CA5210001,CITY OF CORNING,DISTRICT 21 - VALLEY,TEHAMA,7663,2378,SDAC,NA,0,NA,NA,No,No,Yes,10/8/2021,12/1/2021,ROBIN KAMPMANN,rkampmann@corning.org,530-824-7025,NA,NA,NA,NA,Angel Garman,angela@corning.org,(530) 824-7029
CA5403144,ALI MUTUAL WATER CO,DISTRICT 24 - TULARE,TULARE,39,13,Non-DAC,3850,3850,NA,NA,No,No,Yes,NA,12/1/2021,DARREN ISCH,av8nlo@yahoo.com,559-361-0793,NA,NA,NA,Y,Reid Johnson,rj.jol2@gmail.com,(209) 629-9220
CA5410021,EARLIMART PUD,DISTRICT 24 - TULARE,TULARE,8800,1545,SDAC,15561.3,24699,NA,NA,No,No,Yes,NA,12/1/2021,RACHEL GARCIA,epud@sbcglobal.net,661-849-2663,NA,NA,NA,Y,Rachel Garcia,epud@sbcglobal.net,1-661849-2663
CA5403023,DELFT COLONY WATER,DISTRICT 24 - TULARE,TULARE,454,99,SDAC,9830,1828.25,NA,NA,No,No,Yes,NA,12/1/2021,ANDRES PEREZ,aperez3@co.tulare.ca.us,559-624-7191,NA,NA,NA,NA,Andres Perez,APerez3@co.tulare.ca.us,NA
CA5400655,CENTRAL MUTUAL WATER CO,DISTRICT 24 - TULARE,TULARE,119,41,SDAC,3750,1750,NA,NA,No,No,Yes,NA,12/1/2021,PAULETTE CARPENTER,paulette_carpenter@excite.com,559-269-2626,NA,NA,NA,NA,Paulette Carpenter,paulette_carpenter@excite.com,(559) 269-2626
CA5410007,LSID - TONYVILLE,DISTRICT 12 - VISALIA,TULARE,500,52,SDAC,NA,0,NA,NA,No,No,Yes,10/8/2021,12/1/2021,CRAIG WALLACE,cwallace@lsid.org,559-562-2581,Yes,CA5410007,Lindsay-Strathmore Irrigation District,NA,Mike Cosenza,mcosenza@lsid.org,(559) 562-2581
CA5510001,TUD - SONORA/JAMESTOWN WATER SYSTEM,DISTRICT 11 - MERCED,TUOLUMNE,10396,5053,SDAC,233456,81739,NA,NA,No,No,Yes,NA,12/1/2021,DON PERKINS,dperkins@tuolumneutilities.com,209-532-5536EXT. 524,Yes,CA5510001,Tuolumne Utilities District,NA,Makayla Dillon,mdillon@tudwater.com,NA
CA5510009,GROVELAND COMMUNITY SERV DIST,DISTRICT 11 - MERCED,TUOLUMNE,3400,3255,DAC,28250,28233.19,NA,NA,No,No,Yes,NA,12/1/2021,PETER KAMPA,pkampa@gcsd.org,209-962-7161,NA,NA,NA,Y,Renee Van Dyk,rvandyk@gcsd.org,(209) 962-7161
CA5510005,TWAIN HARTE COMMUNITY SERVICES DISTRICT,DISTRICT 11 - MERCED,TUOLUMNE,2226,1572,DAC,3211.67,3211.67,NA,NA,No,No,Yes,NA,12/1/2021,TOM TROTT,ttrott@twainhartecsd.com,209-586-2172,NA,NA,NA,Y,Lewis Giambruno,lgiambruno@twainhartecsd.com,(209) 586-4988
CA5610043,OAK PARK WATER SERVICE,DISTRICT 06 - SANTA BARBARA,VENTURA,12200,4591,Non-DAC,124300,124300,NA,NA,No,No,Yes,NA,12/1/2021,RICHARD JONES,richardjones@vrsd.com,805-658-4648,NA,NA,NA,NA,Richard Jones,richardjones@vrsd.com,805-658-4648
CA5610039,CHANNEL ISLANDS BEACH CSD,DISTRICT 06 - SANTA BARBARA,VENTURA,4861,1866,Non-DAC,27704.39,24096.95,NA,NA,No,No,Yes,NA,12/1/2021,PETER MARTINEZ,pmartinez@cibcsd.com,805-985-6021,NA,NA,NA,NA,Jesus Navarro,jnavarro@cibcsd.com,805-985-6021
CA5610058,CRESTVIEW MUTUAL WATER CO,DISTRICT 06 - SANTA BARBARA,VENTURA,2040,620,Non-DAC,0.01,22080,NA,NA,No,No,Yes,NA,12/1/2021,ROBERT ERANIO,reranio.crestview@live.com,805-482-2001,NA,NA,NA,NA,Robert Eranio,reranio@hotmail.com,805-482-2001
CA5610005,MEINERS OAKS CWD,DISTRICT 06 - SANTA BARBARA,VENTURA,4200,1248,Non-DAC,11000,11882.99,NA,NA,No,No,Yes,NA,12/1/2021,SUMMER WARD,summer@meinersoakswater.com,805-646-2114,NA,NA,NA,Y,Summer Ward,summer@meinersoakswater.com,805-646-2114
CA5610011,CITY OF SANTA PAULA,DISTRICT 06 - SANTA BARBARA,VENTURA,29321,7508,DAC,1346974.83,435005.88,NA,NA,No,No,Yes,NA,12/1/2021,CLETE SAUNIER,csaunier@spcity.org,805-933-4212,Yes,NA,City of Santa Paula Water Division,Y,Jose Ramirez Almazan,jalmazan@spcity.org,(805) 933-4282
CA5610002,FILLMORE WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,15222,3917,DAC,322000,89941.32,NA,NA,No,No,Yes,10/8/2021,12/1/2021,DAVID SMALLWOOD,dsmallwood@ci.fillmore.ca.us,805-524-3701,NA,NA,NA,Y,David Burkhart,davidb@ci.fillmore.ca.us,"805-524-1500, x236, but working from home due to pandemic"
CA5610029,VINEYARD AVENUE ACRES MWC,DISTRICT 06 - SANTA BARBARA,VENTURA,1820,364,DAC,53791.04,46057.04,NA,NA,No,No,Yes,NA,12/1/2021,NANCY OLIVARES,EAat93041@aol.com,805-985-1225,NA,NA,NA,NA,Pete Munoz,redtailinc@earthlink.net,(1888) 292-5499
CA5710001,CITY OF DAVIS,DISTRICT 09 - SACRAMENTO,YOLO,70963,17273,Non-DAC,160000,72698.37,NA,NA,No,No,Yes,NA,12/1/2021,STAN GRYCZKO,sgryczko@cityofdavis.org,530-757-5686,NA,NA,NA,NA,Stan Gryczko,sgryczko@cityofdavis.org,(530) 747-8292
CA5710004,KNIGHTS LANDING SVC. DIST.,DISTRICT 09 - SACRAMENTO,YOLO,1300,287,SDAC,6350.71,6350.71,NA,NA,No,No,Yes,NA,12/1/2021,LEO REFSLAND,LEO@MADISONCSD.ORG,530-908-2077,NA,NA,NA,NA,Leo Refsland,leo@madisoncsd.org,(530) 383-4049
CA5700571,MADISON SERVICE DIST,LPA87 - YOLO COUNTY,YOLO,876,150,SDAC,2404.57,2404.57,NA,NA,No,No,Yes,NA,12/1/2021,LEO _REFSLAND,leo@madisoncsd.org,530-383-4049,NA,NA,NA,NA,Leo Refsland,leo@madisoncsd.org,(530) 383-4049
