Water System No.,Water System Name,Regulating Agency,County,Total Number of Service Connections,AC Name,AC Email,AC Phone,Arrearage Application,Aggregated Application,Aggregated PWSIDs,Residential Arrearage Accounts,New Residential Arrearage Accounts,Residential Arrearage Amount,New Residential Arrearage Amount,CommercialArrearage Accounts,New Commercial Arrearage Accounts,Commercial Arrearage Amount,New Commercial Arrearage Amount,Total Reported Arrearages,Administrative Costs,Total Max Allotment,Total Funding Request,Mailing Address Street 1,Mailing Address Street 2,"City, State, Zip",Completed on,Uploaded Files
3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,21059,CAROL THOMAS-KEEFER,carol.thomas-keefer@libertyutilities.com,760-240-8325,Application Summary,Yes,CA3600010; CA3610003; CA3610118,1766,1930,723563.00,819415.76,104,80,77622.00,75489.84,894905.60,26847.17,921752.77,921752.77,P.O. Box 7005,,"APPLE VALLEY, CA 92307",10-14-2021,1052_CA3610003_439276_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610003_439276_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610003_439276_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610003_439276_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610003_439276_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910225,LAS VIRGENES MWD,DISTRICT 22 - ANGELES,LOS ANGELES,20022,JOHN ZHAO,JZHAO@LVMWD.COM,818-251-2230,Application Summary,No,N/A,925,360,469051.96,194270.42,66,18,76780.19,27044.21,221314.63,6639.44,227954.07,227720.18,4232 LAS VIRGENES ROAD,,"CALABASAS, CA 91302",11-01-2021,1052_CA1910225_439554_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910225_439554_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910225_439554_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910225_439554_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910225_439554_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5410015,"TULARE, CITY OF",DISTRICT 24 - TULARE,TULARE,19583,TIM DOYLE,tdoyle@ci.tulare.ca.us,559-684-4286,Application Summary,No,N/A,790,790,215098.63,215098.63,26,26,8447.58,8447.58,223546.21,6706.39,230252.60,230252.6,3981 SOUTH K STREET,,"TULARE, CA 93274",10-29-2021,1052_CA5410015_439755_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5410015_439755_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5410015_439755_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5410015_439755_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5410015_439755_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3010003,CITY OF BUENA PARK,DISTRICT 08 - SANTA ANA,ORANGE,19065,NABIL HENEIN,nhenein@buenapark.com,714-562-3672,Application Summary,No,N/A,629,629,203731.84,203732.01,28,21,38943.00,38942.90,242674.91,7280.25,249955.16,249955.16,6650 Beach Blvd,,"BUENA PARK, CA 90621",11-02-2021,1052_CA3010003_439823_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010003_439823_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010003_439823_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010003_439823_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010003_439823_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5110002,CITY OF YUBA CITY,DISTRICT 21 - VALLEY,SUTTER,18807,TERRANCE PIORO,tpioro@yubacity.net,530-822-4759,Application Summary,No,N/A,846,704,187440.30,263810.36,0,43,0.00,17593.58,281403.94,8442.12,289846.06,289846.06,1201 Civic Center Blvd,,"YUBA CITY, CA 95993",11-15-2021,1052_CA5110002_439233_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5110002_439233_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5110002_439233_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5110002_439233_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5110002_439233_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910001,CITY OF ALHAMBRA,DISTRICT 16 - CENTRAL,LOS ANGELES,17545,DENNIS AHLEN,dahlen@cityofalhambra.org,626-570-3274,Application Summary,No,N/A,554,456,47520.86,148075.85,83,64,7381.44,40500.53,188576.38,5657.29,194233.67,194233.67,111 S. FIRST ST.,,"ALHAMBRA, CA 91801",10-28-2021,1052_CA1910001_439363_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910001_439363_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910001_439363_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910001_439363_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910001_439363_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4310007,CITY OF MOUNTAIN VIEW,DISTRICT 17 - SANTA CLARA,SANTA CLARA,17507,LISA AU,Lisa.Au@mountainview.gov,650-903-6140,Application Summary,No,N/A,759,360,174583.92,220231.96,141,27,206308.41,126317.87,346549.83,10396.49,356946.32,356946.32,231 North Whisman Road,,"MOUNTAIN VIEW, CA 94043",11-02-2021,1052_CA4310007_439539_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4310007_439539_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4310007_439539_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4310007_439539_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4310007_439539_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5610020,THOUSAND OAKS WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,17163,CLIFF FINLEY,cfinley@toaks.org,805-449-2399,Application Summary,No,N/A,856,971,468942.10,570981.89,24,22,8506.66,12470.97,583452.86,17503.59,600956.45,600956.45,2100 Thousand Oaks Boulevard,,"THOUSAND OAKS, CA 91362",11-10-2021,1052_CA5610020_439557_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5610020_439557_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5610020_439557_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5610020_439557_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5610020_439557_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,DISTRICT 22 - ANGELES,LOS ANGELES,16588,FRANK HELDMAN,FRANK.HELDMAN@LIBERTYUTILITIES.COM,562-805-2105,Application Summary,Yes,CA1910021; CA1910161; CA1910241; CA1910211,2990,3073,1552740.55,1693081.48,167,193,181709.67,231799.87,1924881.35,57746.44,1982627.79,1982627.79,9750 WASHBURN ROAD,,"DOWNEY, CA 90241",10-14-2021,1052_CA1910211_439234_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910211_439234_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910211_439234_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910211_439234_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910211_439234_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4210004,GOLETA WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,16386,JOHN MCINNES,jmcinnes@goletawater.com,805-879-4621,Application Summary,No,N/A,464,223,144974.79,135591.70,39,16,35746.15,30133.36,165725.06,4971.75,170696.81,170696.81,4699 Hollister Avenue,,"GOLETA, CA 93110",11-12-2021,1052_CA4210004_439836_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210004_439836_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210004_439836_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210004_439836_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4210004_439836_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4010009,SAN LUIS OBISPO WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,15877,MYCHAL BOERMAN,mboerman@slocity.org,805-781-7237,Application Summary,No,N/A,548,497,195723.00,191527.98,40,37,62963.00,63286.30,254814.28,7644.43,262458.71,262458.71,879 Morro Street,,"SAN LUIS OBISPO, CA 93401-2710",10-25-2021,1052_CA4010009_439385_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4010009_439385_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4010009_439385_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4010009_439385_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4010009_439385_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910051,"INGLEWOOD- CITY, WATER DEPT.",DISTRICT 15 - METROPOLITAN,LOS ANGELES,15795,THOMAS LEE,TLEE@CITYOFINGLEWOOD.ORG,310-412-5333,Application Summary,No,N/A,1548,1548,775867.90,775867.9,199,199,142690.51,142690.51,918558.41,27556.75,946115.16,946115.16,1 W. MANCHESTER BOULEVARD,,"INGLEWOOD, CA 90301",10-22-2021,1052_CA1910051_439318_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910051_439318_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910051_439318_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910051_439318_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910051_439318_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910019,"CERRITOS - CITY, WATER DEPT.",DISTRICT 16 - CENTRAL,LOS ANGELES,15752,JAVIER MARTINEZ,fjmartinez@cerritos.us,562-407-2673,Application Summary,No,N/A,775,157,39340.87,54088.57,43,12,65470.39,29714.74,83803.31,2514.10,86317.41,86317.41,18125 Bloomfield Avenue,,"CERRITOS, CA 90703",10-15-2021,1052_CA1910019_439212_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910019_439212_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910019_439212_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910019_439212_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910019_439212_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4310006,CITY OF MORGAN HILL,DISTRICT 17 - SANTA CLARA,SANTA CLARA,14593,CLINT BYRUM,clint.byrum@morganhill.ca.gov,408-776-7333,Application Summary,No,N/A,655,500,86287.96,128557.15,31,25,16695.59,23667.30,152224.45,4566.73,156791.18,156791.18,100 Edes Ct.,,"MORGAN HILL, CA 95037",11-15-2021,1052_CA4310006_439213_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4310006_439213_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4310006_439213_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4310006_439213_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4310006_439213_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310022,LAKE HEMET MWD,DISTRICT 20 - RIVERSIDE,RIVERSIDE,14314,MIKE GOW,mgow@lhmwd.org,951-658-3241,Application Summary,No,N/A,1928,733,199171.44,161462.60,5,11,405.53,2929.81,164392.41,4931.77,169324.18,169324.18,P.O. Box 5039,,"HEMET, CA 92544",11-12-2021,1052_CA3310022_439361_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310022_439361_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310022_439361_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310022_439361_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310022_439361_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
0910002,SOUTH TAHOE PUD - MAIN,DISTRICT 09 - SACRAMENTO,EL DORADO,14235,CHRIS STANLEY,cstanley@stpud.dst.ca.us,530-543-6521,Application Summary,No,N/A,418,419,241308.64,241308.64,12,12,9067.33,9067.33,250375.97,7511.28,257887.25,257887.25,1275 Meadow Crest Dr,,"SOUTH LAKE TAHOE, CA 96150",10-28-2021,1052_CA0910002_439476_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0910002_439476_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0910002_439476_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0910002_439476_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0910002_439476_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910026,"COMPTON-CITY, WATER DEPT.",DISTRICT 22 - ANGELES,LOS ANGELES,13999,DON NGUYEN,dnguyen@comptoncity.org,310-605-5555,Application Summary,No,N/A,1504,1245,611942.20,563258.43,122,98,129966.35,121182.26,684440.69,20533.22,704973.91,704973.91,205 S. WILLOWBROOK AVENUE,,"COMPTON, CA 90220",10-11-2021,1052_CA1910026_439187_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910026_439187_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910026_439187_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910026_439187_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910026_439187_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710015,"POWAY, CITY OF",DISTRICT 14 - SAN DIEGO,SAN DIEGO,13990,ERIC HEIDEMANN,EHEIDEMANN@POWAY.ORG,858-668-4716,Application Summary,No,N/A,243,174,170798.35,168681.20,9,1,5530.49,1650.57,170331.77,5109.95,175441.72,175441.72,P.O. BOX 789,,"POWAY, CA 92074",11-02-2021,1052_CA3710015_439317_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710015_439317_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710015_439317_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710015_439317_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710015_439317_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5610019,CAMARILLO WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,13979,DALE REYNOLDS,dreynolds@cityofcamarillo.org,805-388-5643,Application Summary,No,N/A,322,205,111306.77,93183.43,10,6,3804.76,3567.64,96751.07,2902.53,99653.60,99653.6,601 Carmen Drive,,"CAMARILLO, CA 93010",11-05-2021,1052_CA5610019_439926_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5610019_439926_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5610019_439926_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5610019_439926_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5610019_439926_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3410008,ELK GROVE WATER SERVICE,DISTRICT 09 - SACRAMENTO,SACRAMENTO,12882,BRUCE KAMILOS,bkamilos@egwd.org,916-685-3556,Application Summary,No,N/A,665,665,243113.70,231536.86,10,10,8294.52,7899.54,239436.40,7183.09,246619.49,246619.49,9257 ELK GROVE BLVD.,,"ELK GROVE, CA 95624",10-06-2021,1052_CA3410008_439284_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3410008_439284_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3410008_439284_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3410008_439284_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3410008_439284_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910009,VALLEY COUNTY WATER DIST.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,12386,DANA DIAZ,DDIAZ@VCWD.ORG,626-962-1915,Application Summary,No,N/A,751,490,152023.92,160181.17,220,43,18967.17,14528.27,174709.44,5241.28,179950.72,179950.72,14521 RAMONA BLVD,,"BALDWIN PARK, CA 91706",10-19-2021,1052_CA1910009_439529_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910009_439529_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910009_439529_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910009_439529_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910009_439529_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710021,SAN DIEGUITO WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,12037,ISAM HIREISH,ihireish@sdwd.org,760-633-2849,Application Summary,No,N/A,68,66,42793.60,55809.50,4,4,577.74,875.52,56685.02,1700.55,58385.57,58385.57,160 Calle Magdalena,,"ENCINITAS, CA 92024",10-13-2021,1052_CA3710021_439438_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710021_439438_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710021_439438_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710021_439438_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710021_439438_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610029,MONTE VISTA CWD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,11940,JUSTIN SCOTTCOE,jscottcoe@mvwd.org,909-267-2125,Application Summary,No,N/A,563,334,241223.77,131019.67,51,42,26321.68,19543.29,150562.96,4516.89,155079.85,155079.85,P.O. BOX 71,,"MONTCLAIR, CA 91763",11-08-2021,1052_CA3610029_439398_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610029_439398_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610029_439398_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610029_439398_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610029_439398_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3410004,CARMICHAEL WATER DISTRICT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,11704,CATHY LEE,cathy@carmichaelwd.org,916-483-2452,Application Summary,No,N/A,93,90,55540.00,52314.03,4,4,5699.00,4752.36,57066.39,1711.99,58778.38,58778.38,7837 Fair Oaks Blvd,,"CARMICHAEL, CA 95608",10-20-2021,1052_CA3410004_439719_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3410004_439719_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3410004_439719_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3410004_439719_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3410004_439719_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1510015,OILDALE MWC,DISTRICT 12 - VISALIA,KERN,11693,DOUGLAS NUNNELEY,dnunneley@oildalewater.com,661-399-5516,Application Summary,No,N/A,587,371,66818.72,58339.99,25,24,8059.15,6097.64,64437.63,1933.13,66370.76,66370.76,P.O. BOX 5638,,"OILDALE, CA 93388",10-12-2021,1052_CA1510015_439410_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1510015_439410_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1510015_439410_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1510015_439410_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1510015_439410_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4110023,CITY OF SAN BRUNO,DISTRICT 17 - SANTA CLARA,SAN MATEO,11391,MARK REINHARDT,MReinhardt@sanbruno.ca.gov,650-616-7167,Application Summary,No,N/A,514,723,410636.53,415453.13,0,51,0.00,25252.46,440705.59,13221.17,453926.76,453926.76,567 EL CAMINO REAL,,"SAN BRUNO, CA 94066",10-26-2021,1052_CA4110023_439722_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4110023_439722_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4110023_439722_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4110023_439722_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4110023_439722_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5610018,VENTURA CWWD NO. 1 - MOORPARK,DISTRICT 06 - SANTA BARBARA,VENTURA,11011,GILBERTO MINERO,gilberto.minero@ventura.org,805-378-3016,Application Summary,No,N/A,75,75,80664.51,54133.48,9,3,7424.82,4503.82,58637.30,1759.12,60396.42,60396.42,6767 Spring Street,,"MOORPARK, CA 93021",10-21-2021,1052_CA5610018_439402_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5610018_439402_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5610018_439402_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5610018_439402_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5610018_439402_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4010002,ATASCADERO MUTUAL WATER CO,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,10807,CHERYL POWERS,cpowers@amwc.us,805-400-5851,Application Summary,No,N/A,220,171,64158.23,52528.68,14,4,3385.12,1413.66,53942.34,1618.27,55560.61,55560.61,5005 El Camino Real,,"ATASCADERO, CA 93423",10-14-2021,1052_CA4010002_439332_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4010002_439332_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4010002_439332_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4010002_439332_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4010002_439332_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3410021,SAN JUAN WATER DISTRICT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,10672,PAUL HELLIKER,phelliker@sjwd.org,916-791-6936,Application Summary,No,N/A,210,126,96763.00,70210.28,6,1,5885.38,401.34,70611.62,2118.35,72729.97,72729.97,9935 Auburn Folsom Road,,"GRANITE BAY, CA 95746",10-15-2021,1052_CA3410021_439240_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3410021_439240_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3410021_439240_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3410021_439240_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3410021_439240_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910090,"MONROVIA-CITY, WATER DEPT.",DISTRICT 22 - ANGELES,LOS ANGELES,10328,TODD HULL,thull@ci.monrovia.ca.us,626-256-8209,Application Summary,No,N/A,395,312,175007.07,156693.50,46,39,40687.96,37366.33,194059.83,5821.79,199881.62,199881.62,600 S. MOUNTAIN AVE,,"MONROVIA, CA 91016",10-29-2021,1052_CA1910090_439206_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910090_439206_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910090_439206_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910090_439206_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910090_439206_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
0110011,CITY OF LIVERMORE,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,10034,HELEN LING,hfling@cityoflivermore.net,925-960-8168,Application Summary,No,N/A,297,117,55558.00,35874.86,10,4,6493.00,4351.21,40226.07,1206.78,41432.85,41432.85,101 W JACK LONDON BLVD,,"LIVERMORE, CA 94551-7632",10-13-2021,1052_CA0110011_439357_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0110011_439357_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0110011_439357_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0110011_439357_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0110011_439357_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4910014,"ROHNERT PARK, CITY OF",DISTRICT 18 - SONOMA,SONOMA,9823,MARK HENDERSEN,mhendersen@rpcity.org,707-588-3316,Application Summary,No,N/A,678,561,266092.57,185846.51,29,25,44263.73,39631.22,225477.73,6764.33,232242.06,232242.06,600 Enterprise Drive,,"ROHNERT PARK, CA 94928",10-14-2021,1052_CA4910014_439246_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4910014_439246_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4910014_439246_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4910014_439246_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4910014_439246_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4210006,LOMPOC-CITY WATER UTILITY DIV,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,9798,SHAUN RYAN,s_ryan@ci.lompoc.ca.us,805-875-8701,Application Summary,No,N/A,6859,950,1304087.00,434651.49,311,47,198553.00,30517.06,465168.55,13955.06,479123.61,479123.61,601 East North Avenue,,"LOMPOC, CA 93436",10-19-2021,1052_CA4210006_439604_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4210006_439604_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4210006_439604_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4210006_439604_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4210006_439604_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710019,RAMONA MUNICIPAL WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,9565,JOE LOMELI,jlomeli@rmwd.org,760-310-0758,Application Summary,No,N/A,121,115,95325.22,76995.99,4,3,12262.12,10577.34,87573.33,2627.20,90200.53,90200.53,105 EARLHAM STREET,,"RAMONA, CA 92065",11-10-2021,1052_CA3710019_440088_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710019_440088_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710019_440088_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710019_440088_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710019_440088_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
